id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Heat,Dusk Collective,hip-hop,dark,0.85,140,0.38,0.92,0.08
12,Overdrive,Flux Circuit,electronic,euphoric,0.96,138,0.89,0.95,0.03
13,Moonlit Strings,Aria Novo,classical,melancholic,0.22,68,0.31,0.28,0.97
14,Velvet Nights,Soleil Ray,r&b,romantic,0.61,88,0.76,0.74,0.45
15,Back Road Summer,Dusty Pines,country,nostalgic,0.58,104,0.73,0.65,0.80
16,Broken Circuit,Ironfall,metal,aggressive,0.97,168,0.35,0.52,0.06
17,Island Breeze,Coral Sound,reggae,breezy,0.52,76,0.78,0.71,0.62
18,Funk Machine,The Groove Lab,funk,groovy,0.78,108,0.83,0.91,0.28
19,Delta Rain,Blue Hollow,blues,melancholic,0.44,84,0.40,0.48,0.83
20,Hyperdrive,Static Candy,hyperpop,euphoric,0.94,162,0.91,0.96,0.04
